timestamp,log_level,service,aws_service,instance_id,message,incident_type,severity,recommended_action,source_ip,region,environment,correlation_id,metadata
2026-01-07T10:28:45.396129,FATAL,worker-service,alb,i-abc123def456,CPU usage exceeded 90% for 5 minutes,high_cpu,high,scale_horizontally,10.0.201.180,eu-west-1,production,626cdb1d-b973-4d9f-93b3-94175daea54d,"{""cpu_usage"": 91.21002870075453, ""memory_usage"": null, ""disk_usage"": null, ""response_time"": null}"
2026-01-07T11:24:14.663039,DEBUG,database,alb,i-abc123def456,Request processed successfully in 89ms,normal,info,none,10.0.251.190,us-west-2,staging,f6fac38c-2ca5-408c-881c-c655b4e40e9b,"{""cpu_usage"": 28.26209638242294, ""memory_usage"": 45.637517649374345, ""disk_usage"": 78.47419381178237, ""response_time"": 112.00583326758121}"
2026-01-01T18:58:20.418810,ERROR,java-app,alb,i-789ghi012jkl,Memory usage increased to 97% on python-worker,memory_leak,high,restart_service,10.0.235.214,eu-west-1,staging,74df8699-9035-4eb4-aa2f-797c977328ba,"{""cpu_usage"": null, ""memory_usage"": 12.160975127434536, ""disk_usage"": null, ""response_time"": null}"
2026-01-07T16:20:21.505936,ERROR,web-server,rds,i-abc123def456,Container 360eec217820 exited unexpectedly,service_crash,critical,check_dependencies,10.0.169.17,eu-west-1,production,877ca4c3-a377-4d1a-a237-695792ce950e,"{""cpu_usage"": null, ""memory_usage"": null, ""disk_usage"": null, ""response_time"": 4801.118239273269}"
2026-01-11T08:00:20.609996,WARN,microservice-b,cloudwatch,i-abc123def456,Container a3b0dc9e89c4 killed by OOM killer,container_oom,critical,optimize_memory_usage,10.0.239.133,us-west-2,staging,a758a1e3-a7b5-471e-a1eb-6180ca56f309,"{""cpu_usage"": null, ""memory_usage"": null, ""disk_usage"": null, ""response_time"": null}"
2026-01-08T09:38:14.626745,INFO,database,ecs,i-789ghi012jkl,Backup completed for database products,normal,info,none,10.0.97.86,us-west-2,staging,a9f4f98a-3dfe-40bc-92d2-30a6c7a7e79c,"{""cpu_usage"": 22.623908547046824, ""memory_usage"": 46.09180512521938, ""disk_usage"": 78.0652278920516, ""response_time"": 75.90336554484048}"
2026-01-06T11:42:25.435364,ERROR,log-service,ec2,i-mno345pqr678,Disk full warning: 385MB remaining,disk_full,critical,archive_old_data,10.0.196.48,us-east-1,development,87d25229-a57a-4d98-b208-160fe3674cc1,"{""cpu_usage"": null, ""memory_usage"": null, ""disk_usage"": 70.12823684724255, ""response_time"": null}"
2025-12-25T01:59:14.626133,DEBUG,api-service,ec2,i-789ghi012jkl,Database query executed in 54ms,normal,info,none,10.0.36.106,us-west-2,staging,22be6cc3-1007-4c79-aba5-b55d2eb541d3,"{""cpu_usage"": 52.131390700177185, ""memory_usage"": 30.25698983813036, ""disk_usage"": 39.37573886937071, ""response_time"": 220.1324091102456}"
2026-01-09T23:13:14.647304,INFO,cache,rds,i-789ghi012jkl,Backup completed for database products,normal,info,none,10.0.225.174,us-east-1,staging,abecc42f-5bb1-470a-94ca-e8e94142dc2e,"{""cpu_usage"": 22.510276129321703, ""memory_usage"": 33.02088021796331, ""disk_usage"": 66.46717121654687, ""response_time"": 302.1258801246404}"
2026-01-10T09:15:40.567397,WARN,database,rds,i-mno345pqr678,Database connection timeout to db-staging.us-west-2.rds.amazonaws.com:3306,db_connection_failure,critical,check_network,10.0.162.7,us-east-1,development,1c788acd-e392-49eb-92eb-2a6ec3b51206,"{""cpu_usage"": null, ""memory_usage"": null, ""disk_usage"": null, ""response_time"": null}"
2025-12-31T12:54:14.640075,DEBUG,web-server,alb,i-abc123def456,SSL certificate renewed for api.example.com,normal,info,none,10.0.31.17,us-west-2,production,2cb2fc13-b1b4-4b79-a07f-75f0ca50dfd6,"{""cpu_usage"": 34.67598906660638, ""memory_usage"": 22.22720163600708, ""disk_usage"": 30.265320480981202, ""response_time"": 204.14820108041812}"
2026-01-05T06:16:39.513771,FATAL,web-server,ec2,i-mno345pqr678,Container 196b0087ff8b exited unexpectedly,service_crash,critical,check_dependencies,10.0.19.18,us-west-2,production,897c4121-f0bf-4f0b-a14c-334b3a71e75e,"{""cpu_usage"": null, ""memory_usage"": null, ""disk_usage"": null, ""response_time"": 3185.4591214655698}"
2026-01-08T06:32:06.560477,FATAL,database,lambda,i-789ghi012jkl,Redis connection failed: max clients reached,db_connection_failure,high,increase_connection_pool,10.0.155.18,us-east-1,development,7f6d9398-ddf8-4d38-8471-a4d968d7467c,"{""cpu_usage"": null, ""memory_usage"": null, ""disk_usage"": null, ""response_time"": null}"
2026-01-06T00:53:14.666438,DEBUG,database,alb,i-789ghi012jkl,Log rotation completed for access.log,normal,info,none,10.0.121.253,us-west-2,production,03beb78d-b616-4df0-8cfe-01933d61668a,"{""cpu_usage"": 15.860249666514843, ""memory_usage"": 37.328067149987774, ""disk_usage"": 75.64664659698272, ""response_time"": 296.4858550229949}"
2025-12-22T18:35:51.486124,ERROR,auth-service,ecs,i-abc123def456,IAM role app-role lacks permission for rds:Connect,permission_denied,medium,fix_permissions,10.0.18.181,us-east-1,staging,c2a1a0f7-e758-4434-822e-f4b5b37fd6aa,"{""cpu_usage"": null, ""memory_usage"": null, ""disk_usage"": null, ""response_time"": null}"
